soil_type,rainfall,humidity,temperature,crop,moisture_output
Loamy,18.513292883861965,77.08920959462286,26.809065608323262,Cotton,70.96087258392062
Silt,54.190094737835814,85.76769780339606,29.20306978125064,Wheat,63.461688869457475
Sandy,87.29458358764083,47.53275291547493,40.636421796065406,Cotton,54.00194668010388
Loamy,73.22248864095612,73.74118697248991,25.200131581796764,Cotton,74.66223683789948
Loamy,80.65611478614497,70.0222188200624,41.08949054436514,Wheat,55.35963257010963
Silt,65.87833667107174,88.29812637517898,17.644032929300746,Maize,67.76305216783966
Sandy,69.22765645178525,93.42609423368825,38.303953116258924,Cotton,55.10883950861196
Sandy,84.91956515653193,30.850974003417075,40.42642899164209,Wheat,50.02240631555546
Loamy,24.966800885918595,77.18139433411548,20.454529585120163,Maize,61.600253791884604
Clay,48.942496364314046,33.62850593838103,27.91039597116601,Cotton,71.38006881954112
Loamy,22.120944181960223,68.42010655541492,19.964993239909667,Maize,69.29300265258817
Loamy,98.7668007996647,50.13429103305747,36.19812386982653,Sugarcane,79.2340242536027
Loamy,94.40593396866133,51.474361966549885,31.060433041849702,Vegetables,80.85458626613054
Loamy,3.94268113685059,54.70709524166496,34.05970040124963,Sugarcane,64.50411217080557
Silt,70.55751725156884,73.4904714334727,20.894609008686334,Maize,71.51644999403159
Sandy,92.52483174156659,53.38349759681385,21.352375861572586,Cotton,55.38347925520233
Silt,18.057534512733355,81.28893354131964,16.24491976529719,Wheat,66.57963228755203
Silt,56.79452305526295,58.31691699017088,24.66202605587189,Rice,74.60779898270222
Silt,91.54882975880419,34.7847240216971,31.79233984001025,Wheat,59.84337313927598
Loamy,3.394597858579884,84.8631889738875,40.738047419919866,Rice,65.54831252353571
Clay,69.742026724684,50.00308272148942,35.00782342376042,Rice,75.19124304266896
Sandy,29.734900737255078,60.29368157194838,28.06188970199254,Cotton,39.23494173190222
Clay,92.43961953765304,77.9810718255331,43.593603431824135,Maize,76.4483998836085
Silt,97.10582451653677,53.271931000409836,36.57735601727495,Wheat,68.49951737646437
Silt,94.42664891134339,33.960995930270094,42.9049560858765,Maize,67.78237043748918
Clay,47.42142166574638,56.174473290896955,30.82763919816497,Sugarcane,74.30873045658313
Clay,86.20426509893134,96.11140078860124,22.76712824379419,Cotton,83.69594154403947
Clay,84.45493985350704,74.92140781089907,16.58480059094166,Cotton,82.39147029800041
Silt,31.910047324325564,77.00354040670449,36.782545544515514,Sugarcane,68.78516802761905
Silt,82.89154741506773,74.25975075463478,18.639089940166023,Wheat,58.64784005842897
Sandy,3.700763471549262,43.92944972716057,24.083253848159018,Vegetables,38.8647344642043
Sandy,59.6269878482053,59.28337048715961,30.97412723651692,Sugarcane,61.78642042431378
Silt,23.000883728770305,82.56578588543228,31.93249763339243,Wheat,60.36315629566649
Clay,12.056688577727881,37.09610282872114,33.017495909614084,Rice,75.04993542836908
Clay,7.695320162920916,49.449694326279854,19.98765991049102,Cotton,55.81649119451024
Sandy,69.62887758781397,49.34233759260975,26.392122144649463,Wheat,44.231126476083325
Silt,33.98749637680661,60.241324931615424,33.515826813509,Maize,61.83712442790251
Sandy,72.47667715287615,98.62581186595295,44.09456593901354,Maize,60.38269980175481
Sandy,6.535634079894237,34.725178267867534,36.82893413099066,Cotton,28.524783319244765
Loamy,31.529033783061035,66.30906960664166,42.67811271281873,Sugarcane,63.694470989898136
Loamy,53.949129237533725,42.55552774085473,37.86636174942531,Vegetables,68.19279080609961
Loamy,79.07231648389636,97.9473581786821,32.751509066772016,Sugarcane,74.0212544091774
Clay,31.875250293206992,37.93124533092249,20.760701074090335,Wheat,71.04842056741145
Silt,62.58913764370091,58.25207016531139,35.00056955677539,Sugarcane,54.96444043305752
Silt,88.5977748236187,81.65194893842244,33.70138697879722,Cotton,73.7355310872511
Silt,61.58631881823046,79.31880996192118,33.074075113717996,Wheat,59.85149738628361
Silt,23.295947475363377,59.59100458257526,29.693576039647223,Rice,61.97223118885397
Loamy,2.440078155653802,54.25669175669027,30.85969811967827,Sugarcane,65.41519511058115
Clay,87.00988739009298,57.83286649870094,25.03327581354312,Sugarcane,88.411542161287
Clay,2.126941085038714,48.49933842110475,30.579380779269094,Vegetables,63.56160180357895
Loamy,87.47016726841994,44.373305709475986,20.926677170354345,Wheat,79.99856363170203
Clay,52.8937134027212,63.8127788291223,39.1552319208113,Maize,63.212570924118964
Loamy,93.90676985128962,48.79736292473251,20.573308640961233,Sugarcane,84.01116952794987
Silt,79.87832357736654,50.12231654280751,17.548988696683992,Cotton,67.27234910645646
Loamy,99.79341105333374,75.972924443219,28.08738079071472,Sugarcane,89.21991776117417
Silt,35.071181545171015,97.79761321899245,34.749223185181854,Vegetables,67.30456602355949
Silt,76.71882889311269,72.25460403915625,28.131504748006243,Rice,80.24651585245631
Sandy,40.193091360924214,35.38856269454764,23.302623958539257,Vegetables,55.3135965176135
Loamy,47.98756203039088,35.29085296978469,31.745135516713223,Sugarcane,74.73479471021757
Sandy,62.75054632183701,96.59962545918961,25.410070062365996,Maize,55.299944122709505
Loamy,87.36771141863387,50.810355321513356,42.98603070379899,Sugarcane,75.15242933730093
Loamy,98.40834691992951,36.44468902577328,42.67935418810716,Wheat,73.02702393368972
Sandy,76.82734138645182,71.9331211005267,30.071154599162863,Sugarcane,59.718307381333325
Sandy,41.77667821673337,73.65541448031863,24.836519820547757,Maize,53.2957877547628
Loamy,42.13570022770702,75.39533740830817,37.11397241869918,Wheat,53.18087993689733
Clay,73.75823015888915,48.71814195002789,16.101388304491998,Cotton,89.69706132939959
Silt,23.877714576830233,31.057747895013254,29.243070181309538,Wheat,53.91353956825611
Sandy,11.047411313139467,97.55107586181303,25.089701828110005,Vegetables,38.8253526459134
Silt,35.462215764077655,47.562513198377175,42.61607655307664,Rice,56.99490474881265
Clay,28.723899165408174,77.32184016367833,15.360090818180476,Vegetables,65.72230134814922
Clay,29.630812045599008,79.46409089150967,31.584446271550473,Wheat,63.44606221587686
Clay,23.360775104990992,72.700519195564,37.21990743199878,Cotton,65.56499256775604
Sandy,4.209318963636188,51.903517594955375,29.550539625721235,Sugarcane,50.24062672697842
Clay,1.787393473341381,48.97673776348461,17.56209090488165,Wheat,66.53989812665124
